Date;Open;High;Low;Close*;Adj Close**;Volume
Sep 30, 2016;398.50;403.75;390.00;402.00;402.00;90,561
Sep 29, 2016;401.75;406.75;397.75;399.00;399.00;47,733
Sep 28, 2016;404.50;407.25;401.75;403.25;403.25;40,835
Sep 27, 2016;397.25;405.00;394.00;404.00;404.00;60,932
Sep 26, 2016;401.75;407.00;395.25;396.00;396.00;55,425
Sep 23, 2016;403.75;409.50;401.25;404.75;404.75;44,34
Sep 22, 2016;405.25;411.75;404.25;405.50;405.50;41,465
Sep 21, 2016;405.00;409.00;402.25;407.75;407.75;37,396
Sep 20, 2016;402.25;410.00;401.50;406.00;406.00;43,011
Sep 19, 2016;404.00;409.00;399.75;404.00;404.00;45,558
Sep 16, 2016;398.00;404.75;393.75;403.25;403.25;49,762
Sep 15, 2016;401.00;406.75;398.00;399.50;399.50;42,993
Sep 14, 2016;376.75;376.75;376.75;376.75;376.75;57,171
Sep 13, 2016;383.00;383.00;374.75;374.75;374.75;6
Sep 12, 2016;382.00;384.50;381.50;383.25;383.25;29
Sep 09, 2016;376.75;376.75;376.00;376.00;376.00;36
Sep 08, 2016;375.50;377.00;375.50;377.00;377.00;18
Sep 07, 2016;371.75;376.75;371.75;375.25;375.25;64
Sep 06, 2016;371.00;376.50;369.75;371.00;371.00;55
Sep 02, 2016;368.25;374.25;367.25;373.25;373.25;245
Sep 01, 2016;363.00;369.00;362.50;368.25;368.25;712
Aug 31, 2016;363.50;367.00;359.50;361.00;361.00;2,335
Aug 30, 2016;370.00;374.25;361.50;363.25;363.25;27,62
Aug 29, 2016;383.50;384.00;369.50;370.50;370.50;29,038
Aug 26, 2016;401.25;402.25;381.00;383.50;383.50;35,451
Aug 25, 2016;404.50;407.75;400.75;401.25;401.25;17,86
Aug 24, 2016;407.75;409.25;402.50;404.00;404.00;25,597
Aug 23, 2016;415.00;415.00;406.75;407.75;407.75;38,969
Aug 22, 2016;427.00;429.25;414.00;415.25;415.25;39,066
Aug 19, 2016;426.25;432.50;422.50;427.00;427.00;38,691
Aug 18, 2016;424.50;428.00;420.00;427.00;427.00;38,516
Aug 17, 2016;423.00;428.50;419.50;426.00;426.00;44,74
Aug 16, 2016;420.00;428.00;414.50;423.50;423.50;69,172
Aug 15, 2016;421.25;430.00;417.25;422.00;422.00;82,009
Aug 12, 2016;416.00;423.25;406.00;422.50;422.50;79,674
Aug 11, 2016;420.00;424.00;413.50;416.25;416.25;98,818
Aug 10, 2016;416.50;427.50;414.50;421.75;421.75;90,634
Aug 09, 2016;415.00;419.25;411.50;417.00;417.00;88,193
Aug 08, 2016;418.50;423.50;411.50;417.00;417.00;129,025
Aug 05, 2016;403.25;418.50;403.00;416.00;416.00;114,185
Aug 04, 2016;410.50;416.00;402.50;403.25;403.25;54,088
Aug 03, 2016;402.00;415.00;401.00;410.25;410.25;66,098
Aug 02, 2016;406.00;410.50;399.25;401.25;401.25;60,901
Aug 01, 2016;410.75;415.50;404.75;406.00;406.00;68,357
Jul 29, 2016;411.50;412.75;403.50;407.75;407.75;61,173
Jul 28, 2016;414.50;420.00;408.25;410.25;410.25;56,838
Jul 27, 2016;416.75;421.00;414.00;414.75;414.75;46,739
Jul 26, 2016;427.50;429.25;414.00;415.00;415.00;64,182
Jul 25, 2016;425.75;435.25;421.00;429.00;429.00;89,27
Jul 22, 2016;417.25;427.00;407.00;425.25;425.25;82,418
Jul 21, 2016;414.00;419.75;408.75;417.75;417.75;67,833
Jul 20, 2016;419.25;423.75;406.50;413.00;413.00;78,39
Jul 19, 2016;427.75;428.25;416.25;418.00;418.00;53,844
Jul 18, 2016;425.00;431.75;420.25;429.50;429.50;62,265
Jul 15, 2016;434.00;439.75;424.00;424.75;424.75;76,867
Jul 14, 2016;431.25;431.25;421.75;421.75;421.75;72,305
Jul 13, 2016;430.00;434.00;426.25;426.25;426.25;56
Jul 12, 2016;416.25;424.00;415.50;424.00;424.00;56
Jul 11, 2016;423.50;423.75;416.25;416.25;416.25;118
